hub_id,in_degree,out_degree,betweenness_centrality,clustering_coefficient,pagerank,total_hub_trips,total_sla_breach_trips,breach_rate_%,risk_tier
IND733140AAA,2,4,3.780000922320225e-07,0.6666666666666666,0.00029101243945270177,10.0,7.0,70.0,Low Risk
IND361315AAA,1,1,0.0,1.0,0.00022016349818519942,7.0,7.0,100.0,Low Risk
IND523226AAA,2,3,0.0,1.0,0.000514675703846807,11.0,7.0,63.6,Low Risk
IND535001AAA,2,1,0.0007979581947017995,0.0,0.0007746681899594912,7.0,7.0,100.0,Low Risk
IND173025AAA,2,2,0.0007983361947940315,1.0,0.00048645199911103663,8.0,7.0,87.5,Low Risk
IND335001AAA,1,1,0.002782458678919917,0.0,0.0003733658511220083,7.0,7.0,100.0,Low Risk
IND335051AAA,2,2,0.0015944043890346706,0.0,0.0007963707843539744,9.0,7.0,77.8,Low Risk
IND743513AAA,1,2,0.00040105809785817586,1.0,0.0003057573477573214,9.0,7.0,77.8,Low Risk
IND788151AAA,2,2,0.0008017381956241196,0.0,0.0003714101284613318,10.0,7.0,70.0,Low Risk
IND415003AAA,1,2,0.0011841648980271443,0.3333333333333333,0.0003081988699121777,9.0,7.0,77.8,Low Risk
IND473443AAA,1,1,0.0,1.0,0.00018362477418689213,7.0,7.0,100.0,Low Risk
IND000000ADV,0,2,0.0,0.0,0.00012114567835132603,11.0,7.0,63.6,Low Risk
IND829121AAA,3,3,0.0007979581947017995,1.0,0.0006961672130784807,10.0,7.0,70.0,Low Risk
IND305624AAA,1,1,0.0004006800977659438,0.0,0.00022412632918316207,7.0,7.0,100.0,Low Risk
IND302004AAA,2,2,5.6700013834803375e-06,0.0,0.00031702305040954285,8.0,7.0,87.5,Low Risk
IND458664AAA,1,1,0.0007998481951629596,0.0,0.0004929374374855013,7.0,7.0,100.0,Low Risk
IND303106AAA,1,2,0.0004003020976737118,0.3333333333333333,0.00022412632918316207,9.0,7.0,77.8,Low Risk
IND321022AAA,1,1,0.0,1.0,0.00015854088675394803,7.0,7.0,100.0,Low Risk
IND303108AAB,0,1,0.0,0.0,0.00012114567835132603,7.0,7.0,100.0,Low Risk
IND562159AAA,0,2,0.0,0.0,0.00012114567835132603,8.0,7.0,87.5,Low Risk
IND571301AAA,1,1,0.001213380296064792,0.0,0.0005260688507886723,7.0,7.0,100.0,Low Risk
IND563130AAA,2,1,3.150000768600187e-07,0.6666666666666666,0.0003596054014780445,7.0,7.0,100.0,Low Risk
IND176303AAA,2,1,1.1340002766960673e-06,0.6666666666666666,0.0009067780274995533,7.0,7.0,100.0,Low Risk
IND160102AAD,0,2,0.0,0.0,0.00012114567835132603,10.0,7.0,70.0,Low Risk
IND147101AAA,2,2,0.0,1.0,0.0004481740118909864,8.0,7.0,87.5,Low Risk
IND574239AAA,1,1,0.0007998481951629596,0.0,0.00036118059910825244,7.0,7.0,100.0,Low Risk
IND574227AAA,1,2,0.00040105809785817586,0.0,0.00027214848450695154,9.0,7.0,77.8,Low Risk
IND423105AAA,2,2,3.02400073785618e-06,0.3333333333333333,0.0006574920082262977,8.0,7.0,87.5,Low Risk
IND423106AAA,2,1,0.0,1.0,0.00043945468165269776,7.0,7.0,100.0,Low Risk
